Cod.;Nome;Totale A;Quantità A;Totale B;Quantità B;Andamento A/B
806P100300823;Vite x plasticafiletto 30 T.Cil.Croce Senza Punta INOXA2 3x8 Nerinox;1000,00;20000,00;1000,00;20000,00;
R40463;Cavo H03VV-F 02 X0,75 Nero 0 Bob.LE2 400 P120 D5,30 R001 STANDARD Cable;4816,00;19400,00;4816,00;19400,00;
WAGO 221-412;Connettore Wago 221-412;3621,50;13000,00;3621,50;13000,00;
HEP06079040N8;Passacavo standard (SB) PA66 F 7,9 (4,8) Nero;1462,50;12502,00;1462,50;12502,00;
NT20N BP500;CAVO FEP(RN) + GOMMA PCP NERA 2X 0.50;12900,00;10000,00;12900,00;10000,00;
Cavo Nero;Cavo FEP Nero 0.50;900,00;6000,00;900,00;6000,00;
Cavo Rosso;Cavo FEP Rosso 0.50;900,00;6000,00;900,00;6000,00;
LED Bat-2-PRO - LED MODULE;2700K warm white, 8leds per piece, 0.5M per pcs. PRO Version. (Same Bin LED: W24HG. 2550K~2850K);22800,00;2400,00;22800,00;2400,00;
IPLM600mA-PRO - LED MODULE;PIPISTRELLO LED Module 600 mA PRO Version Print the production date on the back: 06/2025;17760,00;2400,00;17760,00;2400,00;
IPLM500mA-PRO - LED MODULE;PIPISTRELLO LED Module 500 mA PRO Version Print the production date on the back: 06/2025;16280,00;2200,00;16280,00;2200,00;
LED Bat-1-PRO - LED MODULE;2700K warm white, 4leds per piece, 1M per pcs. PRO Version. (Same Bin LED: W24HG. 2650K~2750K );11660,00;2200,00;11660,00;2200,00;
CPU211-930;CIRCUITO PURALUCE (1 LED) 21mm 3W (700mA) 2,9Vdc 3000K CRI90;2996,80;2162,00;2996,80;2162,00;
LD350MA;Regolatore di corrente (10-26Vdc) 350mA 16,5*10*4mm;3256,00;1980,00;3256,00;1980,00;
CA12079_HEIDI-W2;CA12079_HEIDI-W2;1640,16;1836,00;1640,16;1836,00;
CPU101-930;CIRCUITO PURALUCE (1LED) 10mm 1,2W (350mA) 2,9Vdc 3000K CRI90;2040,00;1700,00;2040,00;1700,00;
CPU211-927;CIRCUITO PURALUCE (1 LED) ÃÂ21mm 3W (700mA) 2,9Vdc 2700K CRI>90;2195,20;1568,00;2195,20;1568,00;
CPU213-930;Circuito Puraluce (3 Led) 21mm 6W 8,7vdc 3000K CRI90;3016,00;1040,00;3016,00;1040,00;
NT20N 2X0,5;Cavo Fep + Gomma;1750,00;1000,00;1750,00;1000,00;
M.PCBMuSing-30;Montaggio PCB multichip singolo 3000K;346,00;860,00;346,00;860,00;
CPU445-930;CIRCUITO PURALUCE (7 LED) 44x5mm 1,2W 24Vdc 3000K CRI>90;960,00;800,00;960,00;800,00;
CPU4722-930;CIRCUITO PURALUCE (2 LED) 47x22mm (700mA) 5,8Vdc 3000K CRI90;1917,50;767,00;1917,50;767,00;
MULTICHIP SINGOLO;PCB Multichip Singolo;169,50;750,00;169,50;750,00;
MLNTSK1038;CAVO DMX 2X0,35 BLU/N/BIA;1400,00;700,00;1400,00;700,00;
SD103A08P08GR/51;SNODO D. 10 MM L=32,5/51 MM MASCHIO M8x1 + MASCHIO M8x1 IN OTTONE GREZZO;1527,00;700,00;1527,00;700,00;
SH163A10P10GR;SNODO HEAVY D. 16 mm L= 33 mm (A) MASCHIO M10X1 - (P) MASCHIO M10X1 GREZZO;3095,00;700,00;3095,00;700,00;
