"Azioni";"Codice";"Nome";"Barcode";"Tipo";"Categoria";"Sottocategoria";"Giacenza";"Prezzo di acquisto";"Valore magazzino";"Q.tà per confezione";"Prezzo €";"Iva";"Creato da";"Disabilitato"
"";"5459,1";"CATENARIA 4CIRCUITI 4 LED Z5M, CAVO R/N CM 40 X 620/J/T";"";"Kit";"Pipistrello";"";"0";"0";"0,0000000000";"1";"18,5";"22%";"Giacomo";"false"
"";"V2";"Controller bianco dinamico";"";"Semplice";"Dimmer";"";"0";"5,1";"0,0000000000";"1";"20,4";"22%";"Giacomo";"false"
"";"V1";"Dimmer push";"";"Semplice";"Dimmer";"";"0";"5,47";"0,0000000000";"1";"18,8";"22%";"Giacomo";"false"
"";"SE150-24VL";"Driver 150W out 24Vdc";"";"Semplice";"Driver CV";"";"0";"19,13";"0,0000000000";"1";"76,5";"22%";"Giacomo";"false"
"";"SNP15-350IL-2";"Driver 15W out 350mA";"";"Semplice";"Driver CC";"";"0";"3,45";"0,0000000000";"1";"13,7";"22%";"Giacomo";"false"
"";"SNP75-24VL-2";"Driver 75W out 24Vdc";"";"Semplice";"Driver CV";"";"0";"12,7";"0,0000000000";"1";"50,8";"22%";"Giacomo";"false"
"";"SNP8-500IL-2";"Driver 8W out 500mA";"";"Semplice";"Driver CC";"";"0";"2,67";"0,0000000000";"1";"10,6";"22%";"Giacomo";"false"
"";"SNP60-24VF";"Driver slim 60W out 24Vdc";"";"Semplice";"Driver CV";"";"0";"12,23";"0,0000000000";"1";"48,9";"22%";"Giacomo";"false"
"";"SNP12-24VLW with cable";"Driver spina 12W out 24Vdc";"";"Semplice";"Driver CV";"";"0";"4,61";"0,0000000000";"1";"18,4";"22%";"Giacomo";"false"
"";"SNP12-500ILW with cable";"Driver spina 12W out 500mA";"";"Semplice";"Driver CC";"";"0";"4,61";"0,0000000000";"1";"18,4";"22%";"Giacomo";"false"
"";"CALAMEC";"Faretto Calabrone";"";"Semplice";"Tecnovite";"";"0";"7";"0,0000000000";"1";"0";"22%";"Giacomo";"false"
"";"AS3535-SUS";"Kit sospensione 2 metri";"";"Semplice";"Profili";"";"0";"1,65";"0,0000000000";"1";"6,6";"22%";"Giacomo";"false"
"";"AS5075A1-SUS";"Kit sospensione 2 metri";"";"Semplice";"Profili";"";"0";"1,5";"0,0000000000";"1";"7,5";"22%";"Giacomo";"false"
"";"AS5075D1-SUS";"Kit sospensione 2 metri";"";"Semplice";"Profili";"";"0";"1,5";"0,0000000000";"1";"6,6";"IVA 22%";"Giacomo";"false"
"";"SM1715";"Profilo alluminio";"";"Semplice";"Profili";"";"0";"1,652";"0,0000000000";"1";"8,26";"22%";"Giacomo";"false"
"";"RC1707";"Profilo alluminio Recessed";"";"Semplice";"Profili";"";"0";"1,71";"0,0000000000";"1";"6,9";"22%";"Giacomo";"false"
"";"CR1616";"Profilo base diagonale";"";"Semplice";"Profili";"";"0";"1,43";"0,0000000000";"1";"7,15";"22%";"Giacomo";"false"
"";"EV1";"Ripetitore per dimmer push";"";"Semplice";"Dimmer";"";"0";"3,82";"0,0000000000";"1";"15,3";"22%";"Giacomo";"false"
"";"SL142700K/300";"Strip led 14W/mt 2700K CRI90 300led/mt";"";"Semplice";"Strip led";"";"0";"3,95";"0,0000000000";"1";"21,6";"22%";"Giacomo";"false"
"";"SL242700K";"Strip led 2700K 24W/mt 2212";"";"Semplice";"Strip led";"";"0";"5,64";"0,0000000000";"1";"22,5";"22%";"Giacomo";"false"
"";"SL143000K";"Strip led 3000K 14W/mt 2212";"";"Semplice";"Strip led";"";"0";"5,41";"0,0000000000";"1";"21,6";"22%";"Giacomo";"false"
"";"SL203000K";"Strip led 3000K 19,2W/mt 2212";"";"Semplice";"Strip led";"";"0";"4,5";"0,0000000000";"1";"18";"22%";"Giacomo";"false"
"";"SL244000K";"Strip led 4000K 24W/mt 2212";"";"Semplice";"Strip led";"";"0";"5,64";"0,0000000000";"1";"22,5";"22%";"Giacomo";"false"
"";"SLD504000K";"Strip led doppia 4000K 50W/mt 2835";"";"Semplice";"Strip led";"";"0";"9";"0,0000000000";"1";"36";"22%";"Giacomo";"false"
