Cod.;Nome;Totale A;Quantità  A;Provvigione A;Costi A;Margine A;Totale B;Quantità B;Provvigione B;Costi B;Margine B;Andamento A/B
Vago connettori;Vago connettori;13685,88;22074,00;0,00;6180,72;7505,16;13685,88;22074,00;0,00;6180,72;7505,16;
5074;ALIM. 24V X 620/DIM/L/1 - 620/MED;202017,50;21285,00;0,00;139842,45;62175,05;202017,50;21285,00;0,00;139842,45;62175,05;
536X;Cordone con pulsante Dimm. x 620J / Piccolo;72398,92;9679,00;0,00;0,00;72398,92;72398,92;9679,00;0,00;0,00;72398,92;
5459,1;CATENARIA 4CIRCUITI 4 LED Z5M, CAVO R/N CM 40 X 620/J/T;205117,92;9639,00;0,00;0,00;205117,92;205117,92;9639,00;0,00;0,00;205117,92;
5039;TESTA CABLATA X 620/MED;272966,90;8630,00;0,00;0,00;272966,90;272966,90;8630,00;0,00;0,00;272966,90;
5040;CORDONE CON PULSANTE DIMM. X 620/MED;64544,92;8629,00;0,00;0,00;64544,92;64544,92;8629,00;0,00;0,00;64544,92;
5313,2;TESTA CABLATA LED X 620/DIM/L/1;143503,20;3066,00;0,00;0,00;143503,20;143503,20;3066,00;0,00;0,00;143503,20;
5073;CORDONE DIMM. X 620/DIM/L/1 Grande;22559,68;3016,00;0,00;0,00;22559,68;22559,68;3016,00;0,00;0,00;22559,68;
AP075-30T-3000-36;Proiettore led per binario trifase 230vac 30W 3000K CRI90 Beam Angle 36°;77918,50;2773,00;0,00;28977,85;48940,65;77918,50;2773,00;0,00;28977,85;48940,65;
sup.cavo;Supplemento cavo per variazioni lunghezze cavi in uscita dai faretti;7580,27;2570,00;0,00;0,00;7580,27;7580,27;2570,00;0,00;0,00;7580,27;
HC05-A2-M30S;Faretto da incasso orientabile ghiera quadra 230Vac 30W colore bianco totale;66695,00;1593,00;0,00;24468,48;42226,52;66695,00;1593,00;0,00;24468,48;42226,52;
CPU101-930;CIRCUITO PURALUCE (1LED) 10mm 1,2W (350mA) 2,9Vdc 3000K CRI90;3234,90;1578,00;0,00;1893,60;1341,30;3234,90;1578,00;0,00;1893,60;1341,30;
CPU211-930;CIRCUITO PURALUCE (1 LED) 21mm 3W (700mA) 2,9Vdc 3000K CRI90;2706,00;1320,00;0,00;1848,00;858,00;2706,00;1320,00;0,00;1848,00;858,00;
CPU213-930;Circuito Puraluce (3 Led) 21mm 6W 8,7vdc 3000K CRI90;3864,00;840,00;0,00;2436,00;1428,00;3864,00;840,00;0,00;2436,00;1428,00;
CPU445-930;CIRCUITO PURALUCE (7 LED) 44x5mm 1,2W 24Vdc 3000K CRI>90;1520,00;800,00;0,00;960,00;560,00;1520,00;800,00;0,00;960,00;560,00;
HMT-2W-2Mt;Binario Trifase 2Mt per proiettori Colore Bianco;14051,98;758,00;0,00;10043,50;4008,48;14051,98;758,00;0,00;10043,50;4008,48;
Libralume;Applique da parete con interruttore on/off. Input Voltage: 230Vac - Power: 3W - Beam angle: 20°/40°/60° - CCT: 3000K - CRI90;29057,28;736,00;0,00;0,00;29057,28;29057,28;736,00;0,00;0,00;29057,28;
