"Azioni";"Codice";"Nome";"Barcode";"Tipo";"Categoria";"Sottocategoria";"Giacenza";"Prezzo di acquisto";"Valore magazzino";"Q.tà per confezione";"Prezzo €";"Iva";"Creato da";"Disabilitato"
"";"Y2";"SL14W";"";"Semplice";"Profili custom";"";"0";"1,8";"0,0000000000";"1";"9";"22%";"Giacomo";"false"
"";"Y3";"profilo 1708 con sensore di presenza  completo di driver da 1mt fino a 1,5mt";"";"Semplice";"Profili custom";"";"0";"0";"0,0000000000";"1";"32,5";"22%";"Giacomo";"false"
"";"Y4";"profilo 1708 con sensore di presenza completo di driver fino ad 1mt";"";"Semplice";"Profili custom";"";"0";"0";"0,0000000000";"1";"27,5";"22%";"Giacomo";"false"
"";"RD12-1W-30K Engine";"1 Watt IP67 3000K 24Vdc";"";"Semplice";"Faretti da esterno";"";"0";"2,23";"0,0000000000";"1";"17,8";"22%";"Giacomo";"false"
"";"RD12H-1W-RGB Engine";"1 Watt IP67 RGB 24Vdc";"";"Semplice";"Faretti da esterno";"";"0";"2,23";"0,0000000000";"1";"17,8";"22%";"Giacomo";"false"
"";"AS3535-15A90";"1/4 di cerchio diametro 150cm profilo 35x35";"";"Semplice";"Profili";"";"0";"20,64";"0,0000000000";"1";"82,5";"22%";"Giacomo";"false"
"";"AS3535-30A45";"1/8 di cerchio diametro 300cm profilo 35x35";"";"Semplice";"Profili";"";"0";"20,64";"0,0000000000";"1";"82,5";"22%";"Giacomo";"false"
"";"RD12-2W-30K Engine";"2 Watt IP67 3000K 24Vdc";"";"Semplice";"Faretti da esterno";"";"0";"3,22";"0,0000000000";"1";"25,6";"22%";"Giacomo";"false"
"";"RD13-3W-30K Engine";"3 Watt IP67 3000K 24Vdc";"";"Semplice";"Faretti da esterno";"";"0";"5,25";"0,0000000000";"1";"41,8";"22%";"Giacomo";"false"
"";"Rough in housing-RD12";"Cassaforma x 1W e 2W";"";"Semplice";"Faretti da esterno";"";"0";"0,5";"0,0000000000";"1";"2,1";"22%";"Giacomo";"false"
"";"Rough in housing-RD13";"Cassaforma x 3W";"";"Semplice";"Faretti da esterno";"";"0";"0,7";"0,0000000000";"1";"3";"22%";"Giacomo";"false"
"";"PONT-24-1";"Circuito resinato da esterno per articolo PONT";"";"Semplice";"ARCO";"";"0";"5,93";"0,0000000000";"1";"35";"22%";"Giacomo";"false"
"";"CR1616-MC";"Metal Clip";"";"Semplice";"Profili";"";"0";"0,07";"0,0000000000";"1";"0,3";"non soggette – altri casi";"Giacomo";"false"
"";"CR1616-AD";"Clip in metallo orientabile";"";"Semplice";"Profili";"";"0";"1,43";"0,0000000000";"1";"5,7";"22%";"Giacomo";"false"
"";"AS3875A-IC";"Clip interna";"";"Semplice";"Profili";"";"0";"0,33";"0,0000000000";"1";"1,3";"22%";"Giacomo";"false"
"";"AS5075A1-IC";"CLIP INTERNA ACCIAIO (AS5075A)";"";"Semplice";"Profili";"";"0";"0,33";"0,0000000000";"1";"0,47";"22%";"Giacomo";"false"
"";"AS5075D1-IC";"Clip interna";"";"Semplice";"Profili";"";"0";"0,2";"0,0000000000";"1";"1";"22%";"Giacomo";"false"
"";"SM1715-MC";"Clip metallo";"";"Semplice";"Profili";"";"0";"0,06";"0,0000000000";"1";"0,5";"0%";"Giacomo";"false"
"";"AS3535-MC";"Clip sospensione";"";"Semplice";"Profili";"";"0";"0,33";"0,0000000000";"1";"1,3";"22%";"Giacomo";"false"
"";"AS3875A-MC";"Clip sospensione";"";"Semplice";"Profili";"";"0";"0,33";"0,0000000000";"1";"1,3";"22%";"Giacomo";"false"
"";"AS5075A1-MC";"Clip sospensione";"";"Semplice";"Profili";"";"0";"0,33";"0,0000000000";"1";"1,3";"22%";"Giacomo";"false"
"";"AS5075D1-MC";"Clip sospensione";"";"Semplice";"Profili";"";"0";"0,33";"0,0000000000";"1";"1,3";"22%";"Giacomo";"false"
"";"COL01";"Collante 300ml";"";"Semplice";"Velette per led in XPS";"";"0";"0";"0,0000000000";"1";"36";"";"Giacomo";"false"
"";"V3";"Controller RGB";"";"Semplice";"Dimmer";"";"0";"5,13";"0,0000000000";"1";"22,52";"22%";"Giacomo";"false"
"";"AS5075A-WH-EC";"COPPIA TAPPI ALLUMINIO (AS5075A)";"";"Semplice";"Profili";"";"0";"3,73";"0,0000000000";"1";"14,93";"22%";"Giacomo";"false"
"";"AS3875A-SC";"Corda di sicurezza";"";"Semplice";"Profili";"";"0";"0,33";"0,0000000000";"1";"1,3";"22%";"Giacomo";"false"
"";"AS5075A1-SC";"Corda di sicurezza";"";"Semplice";"Profili";"";"0";"0,33";"0,0000000000";"1";"1,3";"22%";"Giacomo";"false"
"";"AS5075D1-SC";"Corda di sicurezza";"";"Semplice";"Profili";"";"0";"0,33";"0,0000000000";"1";"1,3";"22%";"Giacomo";"false"
"";"EL406";"Cornice angolo illuminazione parete";"";"Semplice";"Velette per led in XPS";"";"0";"13,58";"0,0000000000";"1";"54,3";"22%";"Giacomo";"false"
"";"EL402";"Cornice angolo illuminazione soffitto";"";"Semplice";"Velette per led in XPS";"";"0";"15,27";"0,0000000000";"1";"61,1";"22%";"Giacomo";"false"
"";"EL701";"Cornice angolo illuminazione soffitto";"";"Semplice";"Cornici per led in poliuretano";"";"0";"7,8";"0,0000000000";"1";"31,2";"";"Giacomo";"false"
"";"EL702";"Cornice angolo illuminazione soffitto";"";"Semplice";"Cornici per led in poliuretano";"";"0";"8,77";"0,0000000000";"1";"35,1";"";"Giacomo";"false"
"";"EL802";"Cornice angolo illuminazione soffitto";"";"Semplice";"Cornici per led in poliuretano";"";"0";"13,65";"0,0000000000";"1";"54,6";"";"Giacomo";"false"
"";"EL203";"Cornice angolo parete doppia illuminazione";"";"Semplice";"Velette per led in XPS";"";"0";"14,17";"0,0000000000";"1";"56,7";"22%";"Giacomo";"false"
"";"EL706";"Cornice angolo parete doppia illuminazione";"";"Semplice";"Cornici per led in poliuretano";"";"0";"16,57";"0,0000000000";"1";"66,3";"";"Giacomo";"false"
"";"EL301";"Cornice angolo parete o soffitto";"";"Semplice";"Velette per led in XPS";"";"0";"11,89";"0,0000000000";"1";"47,6";"22%";"Giacomo";"false"
"";"EL501";"Cornice angolo parete o soffitto";"";"Semplice";"Cornici per led in poliuretano";"";"0";"8,12";"0,0000000000";"1";"32,5";"22%";"Giacomo";"false"
"";"EL504";"Cornice angolo parete o soffitto";"";"Semplice";"Cornici per led in poliuretano";"";"0";"9,75";"0,0000000000";"1";"39";"22%";"Giacomo";"false"
"";"EL708";"Cornice angolo parete o soffitto";"";"Semplice";"Cornici per led in poliuretano";"";"0";"15,6";"0,0000000000";"1";"62,4";"22%";"Giacomo";"false"
"";"EL302";"Cornice doppia illuminazione";"";"Semplice";"Velette per led in XPS";"";"0";"13";"0,0000000000";"1";"52";"22%";"Giacomo";"false"
"";"EL201";"Cornice per angolo parete";"";"Semplice";"Velette per led in XPS";"";"0";"13,58";"0,0000000000";"1";"54,3";"22%";"Giacomo";"false"
"";"EL502";"Cornice per angolo parete";"";"Semplice";"Cornici per led in poliuretano";"";"0";"10,72";"0,0000000000";"1";"42,88";"22%";"Giacomo";"false"
"";"SE100-24VL";"Driver 100W out 24Vdc";"";"Semplice";"Driver CV";"";"0";"15,52";"0,0000000000";"1";"62,8";"22%";"Giacomo";"false"
"";"SNP15-24VL";"Driver 15W out 24Vdc";"";"Semplice";"Driver CV";"";"0";"3,34";"0,0000000000";"1";"13,3";"22%";"Giacomo";"false"
"";"SNP15-500IL-2";"Driver 15W out 500mA";"";"Semplice";"Driver CC";"";"0";"3,45";"0,0000000000";"1";"13,7";"22%";"Giacomo";"false"
"";"SNP15-700IL-2";"Driver 15W out 700mA";"";"Semplice";"Driver CC";"";"0";"3,45";"0,0000000000";"1";"13,7";"22%";"Giacomo";"false"
"";"SNP20-350IF";"Driver 20W out 350mA";"";"Semplice";"Driver CC";"";"0";"5,64";"0,0000000000";"1";"22,5";"22%";"Giacomo";"false"
"";"SNP20-500IF";"Driver 20W out 500mA";"";"Semplice";"Driver CC";"";"0";"5,64";"0,0000000000";"1";"22,5";"22%";"Giacomo";"false"
"";"SNP20-700IF";"Driver 20W out 700mA";"";"Semplice";"Driver CC";"";"0";"5,64";"0,0000000000";"1";"22,5";"22%";"Giacomo";"false"
"";"SNP30-24VL";"Driver 30W out 24Vdc";"";"Semplice";"Driver CV";"";"0";"5,82";"0,0000000000";"1";"23,2";"22%";"Giacomo";"false"
"";"SNP30-350IF";"Driver 30W out 350mA";"";"Semplice";"Driver CC";"";"0";"8,2";"0,0000000000";"1";"32,8";"22%";"Giacomo";"false"
"";"SNP30-500IF";"Driver 30W out 500mA";"";"Semplice";"Driver CC";"";"0";"8,2";"0,0000000000";"1";"32,8";"22%";"Giacomo";"false"
"";"SNP30-700IF";"Driver 30W out 700mA";"";"Semplice";"Driver CC";"";"0";"8,2";"0,0000000000";"1";"32,8";"22%";"Giacomo";"false"
"";"SE60-24VL";"Driver 60W out 24Vdc";"";"Semplice";"Driver CV";"";"0";"10,2";"0,0000000000";"1";"40,7";"22%";"Giacomo";"false"
"";"SNP8-350IL-2";"Driver 8W out 350mA";"";"Semplice";"Driver CC";"";"0";"2,67";"0,0000000000";"1";"10,6";"22%";"Giacomo";"false"
"";"SNP8-700IL-2";"Driver 8W out 700mA";"";"Semplice";"Driver CC";"";"0";"2,67";"0,0000000000";"1";"10,6";"22%";"Giacomo";"false"
"";"5468";"DRIVER A SPINA 500MA 12W + CAVO CM200(150+50) CON INTERR. NERO X 620/J";"";"Semplice";"Pipistrello";"";"0";"0";"0,0000000000";"1";"11,7";"22%";"Giacomo";"true"
"";"SNP30-24VF-2";"Driver slim 30W out 24Vdc";"";"Semplice";"Driver CV";"";"0";"7,68";"0,0000000000";"1";"30,7";"22%";"Giacomo";"false"
"";"SNP45-24VF-1";"Driver slim 45W out 24Vdc";"";"Semplice";"Driver CV";"";"0";"11,17";"0,0000000000";"1";"44,6";"22%";"Giacomo";"false"
"";"SNP12-350ILW with cable";"Driver spina 12W out 350mA";"";"Semplice";"Driver CC";"";"0";"4,61";"0,0000000000";"1";"18,4";"22%";"Giacomo";"false"
"";"SNP12-700ILW with cable";"Driver spina 12W out 700mA";"";"Semplice";"Driver CC";"";"0";"4,61";"0,0000000000";"1";"18,4";"22%";"Giacomo";"false"
"";"SNP24-24VLW with cable";"Driver spina 24W out 24Vdc";"";"Semplice";"Driver CV";"";"0";"6,57";"0,0000000000";"1";"0";"22%";"Giacomo";"false"
"";"SNP24-350ILW with cable";"Driver spina 24W out 350mA";"";"Semplice";"Driver CC";"";"0";"6,22";"0,0000000000";"1";"0";"22%";"Giacomo";"false"
"";"SNP24-500ILW with cable";"Driver spina 24W out 500mA";"";"Semplice";"Driver CC";"";"0";"6,22";"0,0000000000";"1";"0";"22%";"Giacomo";"false"
"";"SNP24-700ILW with cable";"Driver spina 24W out 700mA";"";"Semplice";"Driver CC";"";"0";"6,22";"0,0000000000";"1";"0";"22%";"Giacomo";"false"
"";"SNP30-24VL-1";"Driver ultrapiatto 30W out 24Vdc";"";"Semplice";"Driver CV";"";"0";"7,68";"0,0000000000";"1";"30,7";"22%";"Giacomo";"false"
"";"Square 7W 3000K";"Faretto quadro da incasso 230V 7W COB";"";"Semplice";"Faretti da incasso";"";"0";"4,39";"0,0000000000";"1";"35";"22%";"Giacomo";"false"
